comment,cleaned_text,l_xlm,c_xlm,l_bert,c_bert
මිදි කොහෙද තිත්ත නරි දන්න හුත්ත නිමිල හිරන්‍ය · 14 ෆෙබ් 2021 Only two මොදෙස්,මිදි කොහෙද තිත්ත නරි දන්න හුත්ත නිමිල හිරන්‍ය · 14 ෆෙබ් 2021 Only two මොදෙස්,Harassment,0.501,Harassment,0.8423
අයි ගනු සරියෙ හුත්ත ගාව තද කරන්නෙ ????,අයි ගනු සරියෙ හුත්ත ගාව තද කරන්නෙ ????,Harassment,0.6802,Harassment,0.7451
සුද්දන්ට හුත්ත දෙන අක්කලා: උර්ල් via,සුද්දන්ට හුත්ත දෙන අක්කලා: උර්ල් via,Harassment,0.7104,Harassment,0.5713
ගොං මෝඩ මීහරක් නාම්බා හැමදාම නාලා තෙත තුවාය ඇඳ උඩ දානවා. මගේ එකෙක් උනානම් කණ පැලෙන්න දෙන්නේ. පෛය,ගොං මෝඩ මීහරක් නාම්බා හැමදාම නාලා තෙත තුවාය ඇඳ උඩ දානවා. මගේ එකෙක් උනානම් කණ පැලෙන්න දෙන්නේ. පෛය,Harassment,0.645,Harassment,0.9302
"පාස්කු බෝම්බේ ගැන හොයන්න කීවාම පුකට අව්ව වැටෙනකම් නිදාගෙන උන්න අපේ පුකේ පොලීසිය, කෙල්ලේගේ පුකක් දැක්කාම දැන් පුක ඉරාගෙන ඒ පුක ගැන හොයනවා.","පාස්කු බෝම්බේ ගැන හොයන්න කීවාම පුකට අව්ව වැටෙනකම් නිදාගෙන උන්න අපේ පුකේ පොලීසිය, කෙල්ලේගේ පුකක් දැක්කාම දැන් පුක ඉරාගෙන ඒ පුක ගැන හොයනවා.",Harassment,0.6475,Harassment,0.9712
පුක පොඩි කෙල්ලන් පුක පෙන්නාහූ ද තන පොඩි කෙල්ලන් තන පෙන්නාහූ ද ඉන්ස්ටග්රම් වල ලොකු වෙති ඉක්බිතිව පුක තන මනා වූ කෙල්ලන් ඉන්ස්ටග්රම් කුඑඑන්ස ලා වෙති කා බී අපිටත් පෙන්නා සතුටු වෙති,පුක පොඩි කෙල්ලන් පුක පෙන්නාහූ ද තන පොඩි කෙල්ලන් තන පෙන්නාහූ ද ඉන්ස්ටග්රම් වල ලොකු වෙති ඉක්බිතිව පුක තන මනා වූ කෙල්ලන් ඉන්ස්ටග්රම් කුඑඑන්ස ලා වෙති කා බී අපිටත් පෙන්නා සතුටු වෙති,Harassment,0.7949,Harassment,0.812
පුක තියෙන්නේ කාටවත් දෙන්න නෙවෙයි සඩුං අයියේ කමක් නෑ තේරුන් ගත්තනේ දැන් හරි වරද ඔයාගේ,පුක තියෙන්නේ කාටවත් දෙන්න නෙවෙයි සඩුං අයියේ කමක් නෑ තේරුන් ගත්තනේ දැන් හරි වරද ඔයාගේ,Harassment,0.5679,Harassment,0.6587
"සික් ඉතරක් කිවුවෙ ? ආ, මටතේරුනා. පුක හෝදගන්න කියල ගහපං රෙගියුලේටරේ","සික් ඉතරක් කිවුවෙ ? ආ, මටතේරුනා. පුක හෝදගන්න කියල ගහපං රෙගියුලේටරේ",Harassment,0.5977,Harassment,0.8506
අම්බලංගොඩ කෙල්ලෙක් නේද ඔයා ?? පොඩි පිහියක් අරං ගිහිං තගක් දාන්කකො පුක කපනව කතිරෙ හිටින්න කියල,අම්බලංගොඩ කෙල්ලෙක් නේද ඔයා ?? පොඩි පිහියක් අරං ගිහිං තගක් දාන්කකො පුක කපනව කතිරෙ හිටින්න කියල,Harassment,0.688,Harassment,0.8535
නංගි මට බහ දෙනවද? පුක ඉල්ලන්න දෙන්නං අයියෙ.. බහ නම් දෙන්න බෑ..,නංගි මට බහ දෙනවද? පුක ඉල්ලන්න දෙන්නං අයියෙ.. බහ නම් දෙන්න බෑ..,Harassment,0.5469,Harassment,0.9736
දැන් හිමීට ඉරිච්ච පුක මහගනින් ප්,දැන් හිමීට ඉරිච්ච පුක මහගනින් ප්,Harassment,0.6641,Harassment,0.7285
මම මැද්දෙන් පැනලා පුක දුන්නේ නැත්තම් ඉතිං දෙන්නගෙන් එක්කෙන්ක්ට පුක ඉරාගන්න තමා වෙන්නේ. පාටි දීපන් ඕන පුකක්,මම මැද්දෙන් පැනලා පුක දුන්නේ නැත්තම් ඉතිං දෙන්නගෙන් එක්කෙන්ක්ට පුක ඉරාගන්න තමා වෙන්නේ. පාටි දීපන් ඕන පුකක්,Harassment,0.7871,Harassment,0.8604
"""නිකන් දෙන හුත්තකට පුක දෙන්න ගිහින්"" උර්ල් This Tweet ඉස unavailable.","""නිකන් දෙන හුත්තකට පුක දෙන්න ගිහින්"" උර්ල් This Tweet ඉස unavailable.",Harassment,0.7705,Harassment,0.9302
ඉල්ලගෙන කනව කියන්නෙ ඕකට දැන් ඉදපන්කො 30 වෙනකන් පුක පලාගෙන,ඉල්ලගෙන කනව කියන්නෙ ඕකට දැන් ඉදපන්කො 30 වෙනකන් පුක පලාගෙන,Harassment,0.7002,Harassment,0.6064
ඩිංගිරි වරක මදුලක් වගේ එකකිං මුගෙ පුක පලපුදා ඉඳල තමා ඔය,ඩිංගිරි වරක මදුලක් වගේ එකකිං මුගෙ පුක පලපුදා ඉඳල තමා ඔය,Harassment,0.6943,Harassment,0.9097
ඔයා නේද් පහන්තුඩාවෙ ගිහින් වැටිලා පුක ලෙලි ගහගත්තෙ,ඔයා නේද් පහන්තුඩාවෙ ගිහින් වැටිලා පුක ලෙලි ගහගත්තෙ,Harassment,0.5259,Harassment,0.9556
හානේ අක්කා දැක පුක ල්.... උර්ල් This Tweet ඉස unavailable.,හානේ අක්කා දැක පුක ල්.... උර්ල් This Tweet ඉස unavailable.,Harassment,0.7236,Harassment,0.6445
කාලකන්නි ඕකුනගෙ පුක මහලා බඩයන්න බෙහෙත් දෙන්න ඕනා,කාලකන්නි ඕකුනගෙ පුක මහලා බඩයන්න බෙහෙත් දෙන්න ඕනා,Harassment,0.7798,Harassment,0.9492
හානේ මේ පුන්චි බට්ටො රැල. වරෙල්ල වරෙල්ල බුරුතු පිටින් පුක පලාගන්න.,හානේ මේ පුන්චි බට්ටො රැල. වරෙල්ල වරෙල්ල බුරුතු පිටින් පුක පලාගන්න.,Harassment,0.7695,Harassment,0.8086
පුක තියෙන කෙල්ලොන්ගෙ කිරි පණුවන්ගෙ අඩුවක් නොමැත උර්ල්,පුක තියෙන කෙල්ලොන්ගෙ කිරි පණුවන්ගෙ අඩුවක් නොමැත උර්ල්,Harassment,0.5894,Harassment,0.6685
පුක කිව්වම කෙල්ලො ඊය ගානව. පුකට පුක නැතුව දේවාලෙ කියන්නද,පුක කිව්වම කෙල්ලො ඊය ගානව. පුකට පුක නැතුව දේවාලෙ කියන්නද,Harassment,0.6714,Harassment,0.5371
ප්‍රේමෙගෙ කොළුවගෙ පුක මූට්ටු කෝටිපතියෙක් උනහැටි හොයන්න අල්ලස් කොමිසමට පැමිණිල්ලක් උර්ල්,ප්‍රේමෙගෙ කොළුවගෙ පුක මූට්ටු කෝටිපතියෙක් උනහැටි හොයන්න අල්ලස් කොමිසමට පැමිණිල්ලක් උර්ල්,Harassment,0.7651,Harassment,0.5522
පුක හොලවන මකුලුවෝ ඉ ස අ ම අ · 16 ඔච්ට් 2017 පුක රතු බැබුන් උර්ල්,පුක හොලවන මකුලුවෝ ඉ ස අ ම අ · 16 ඔච්ට් 2017 පුක රතු බැබුන් උර්ල්,Harassment,0.7397,Harassment,0.7642
මේකට පුක කියලා රිෆ්ලයි දාන්න වැලට... පුක 1,මේකට පුක කියලා රිෆ්ලයි දාන්න වැලට... පුක 1,Harassment,0.7729,Harassment,0.9077
ඌ මාව බ්ලොක් කරල. ට්‍රිගර් වෙන වේඓගෙ පුත්තු ටිකක් ඉන්නවනම් තමා ෆේක් වලින් ඇවිල්ලත් පුක දෙන මොනාහරි දෙයක් කියාගන්න බැරුව. ඕව සිම්පල් හම්සා,ඌ මාව බ්ලොක් කරල. ට්‍රිගර් වෙන වේඓගෙ පුත්තු ටිකක් ඉන්නවනම් තමා ෆේක් වලින් ඇවිල්ලත් පුක දෙන මොනාහරි දෙයක් කියාගන්න බැරුව. ඕව සිම්පල් හම්සා,Harassment,0.5439,Harassment,0.8198
වහිනව කියල දන්නවනම් පුක ඉරාගෙන 300ක් ගහන්නෙ නෑනේ.... මීට තර0ග,වහිනව කියල දන්නවනම් පුක ඉරාගෙන 300ක් ගහන්නෙ නෑනේ.... මීට තර0ග,Harassment,0.563,Harassment,0.6865
අලුත් කලිසමක් මහන්න මම දුන්නා.. පරණ කලිසමක් හදලා උබ දුන්නා.. වංක කමින් උබ උබටම ඇර ගත්තා.. ඔයිට හොදයි එලදෙනෙකුට පුක දුන්නා.,අලුත් කලිසමක් මහන්න මම දුන්නා.. පරණ කලිසමක් හදලා උබ දුන්නා.. වංක කමින් උබ උබටම ඇර ගත්තා.. ඔයිට හොදයි එලදෙනෙකුට පුක දුන්නා.,Harassment,0.4727,Harassment,0.9146
හැම හුත්තටම පුක දෙන්න යනවට හොද වැඩෙ තට්ටයට.. Jerry ව්රිටෙස් Jerry  · 25 ජුල 2019 හැම හුත්තටම පුක දෙන්න යනවට හොද වැඩෙ තට්ටයට.. මේකේ සස් අරන් යවන්න,හැම හුත්තටම පුක දෙන්න යනවට හොද වැඩෙ තට්ටයට.. Jerry ව්රිටෙස් Jerry  · 25 ජුල 2019 හැම හුත්තටම පුක දෙන්න යනවට හොද වැඩෙ තට්ටයට.. මේකේ සස් අරන් යවන්න,Harassment,0.5815,Harassment,0.8081
"අක්කණ්ඩිය, තෙල පුක කිණිහිරය වැන්නේදැ? Lemon Puff (ලෙමන් පෆ්) · 6 අප‍ 2021 තැලෙන යකඩේ දැක්කම ආචාරියත් පුක උඩ දම දම තලනවලු..","අක්කණ්ඩිය, තෙල පුක කිණිහිරය වැන්නේදැ? Lemon Puff (ලෙමන් පෆ්) · 6 අප‍ 2021 තැලෙන යකඩේ දැක්කම ආචාරියත් පුක උඩ දම දම තලනවලු..",Harassment,0.6006,Harassment,0.9683
පුක කොච්චර ලොකු උනත් හිල එකම සයිස්,පුක කොච්චර ලොකු උනත් හිල එකම සයිස්,Harassment,0.5156,Harassment,0.9775
"ලොකුවට පුක කියලා ඉස්පරෙ පෙන්ටි කරන්න ඔනි කුලමිබු තාප්පෙක, නිදහසේ.","ලොකුවට පුක කියලා ඉස්පරෙ පෙන්ටි කරන්න ඔනි කුලමිබු තාප්පෙක, නිදහසේ.",Harassment,0.6304,Harassment,0.9795
පුක මදිවට කට තව මොනව follow කරාවිද දන්නෑ,පුක මදිවට කට තව මොනව follow කරාවිද දන්නෑ,Harassment,0.5171,Harassment,0.9653
සැප පුටුවක් දැක්කම පැනල වාඩිවෙන පුක ලෑලි බංකුවක් දැක්කාම සයිඩ් වෙලා යනවා ෆෙන්ස්..,සැප පුටුවක් දැක්කම පැනල වාඩිවෙන පුක ලෑලි බංකුවක් දැක්කාම සයිඩ් වෙලා යනවා ෆෙන්ස්..,Harassment,0.5171,Harassment,0.6133
"ඉස්සර මෙහෙම එකක් දැම්මානම් තොගේ පුකේ කිරි පනුවෝ නටාවි නේද, මාධ්‍ය සංදර්ශණ, බොරු සෝබන, මුන් මොකටද, Nurse ලා ටික හිටියනම් මදිද, ගගා. දැන් පුක විකුණනවා 8 pass නැති අපවිත්‍රට!","ඉස්සර මෙහෙම එකක් දැම්මානම් තොගේ පුකේ කිරි පනුවෝ නටාවි නේද, මාධ්‍ය සංදර්ශණ, බොරු සෝබන, මුන් මොකටද, Nurse ලා ටික හිටියනම් මදිද, ගගා. දැන් පුක විකුණනවා 8 pass නැති අපවිත්‍රට!",Harassment,0.6152,Harassment,0.9854
පුක පෙන්නන්න ගයියා. නංගිලා අනා සෝයි පුක කියන් එන්නෙ මේම මේම.,පුක පෙන්නන්න ගයියා. නංගිලා අනා සෝයි පුක කියන් එන්නෙ මේම මේම.,Harassment,0.7217,Harassment,0.5078
පොඩි එකාගෙ පුක පිහදාලම පඩිය ඉවරවෙලා ආයුබොවන්ඩ.,පොඩි එකාගෙ පුක පිහදාලම පඩිය ඉවරවෙලා ආයුබොවන්ඩ.,Harassment,0.6094,Harassment,0.6528
කස්ටියක් මාව පුක කලා දැන් පුක උස්සන් එයි මාව පුක කරන්න....ඉතින් මට පුකද..,කස්ටියක් මාව පුක කලා දැන් පුක උස්සන් එයි මාව පුක කරන්න....ඉතින් මට පුකද..,Harassment,0.6665,Harassment,0.7354
සයිටම් Drama ඉස over ඉ guess මුන්ව දොස්තරලා කරන්න කියලා නේ කට්ටිය පොර කන්නේ.. ආ තුවක්කුව . පුක මැද්දටම වෙඩි තියපන් මගේ,සයිටම් Drama ඉස over ඉ guess මුන්ව දොස්තරලා කරන්න කියලා නේ කට්ටිය පොර කන්නේ.. ආ තුවක්කුව . පුක මැද්දටම වෙඩි තියපන් මගේ,Harassment,0.5718,Harassment,0.9136
ගමේ කොල්ලො කරොත් පුක පෙන්නනව.......සුද්දො කරහම ....mooning,ගමේ කොල්ලො කරොත් පුක පෙන්නනව.......සුද්දො කරහම ....mooning,Harassment,0.5977,Harassment,0.8232
උම්බේ තාත්තා ගේ පුක ලංගදීම ගිනිගන්නවා කියලා කියවෙන්නේ. දිපං දැන් ඩේටා.,උම්බේ තාත්තා ගේ පුක ලංගදීම ගිනිගන්නවා කියලා කියවෙන්නේ. දිපං දැන් ඩේටා.,Harassment,0.7056,Harassment,0.5054
පුක bot එක අයිතිකාරයා ගේ පුක මහන්නොනි,පුක bot එක අයිතිකාරයා ගේ පුක මහන්නොනි,Harassment,0.7158,Harassment,0.8164
දෙනවා දැන ගනිං ඇට දෙක පුක වටේ වට දෙකක් කැරකිලා නවතින්න! ද ස්රිලංකංථ්රෙඅත්ස,දෙනවා දැන ගනිං ඇට දෙක පුක වටේ වට දෙකක් කැරකිලා නවතින්න! ද ස්රිලංකංථ්රෙඅත්ස,Harassment,0.6021,Harassment,0.9868
සන්ලයිට් ... පුක හෝදන සබන් කැටේ ගෑවොත් නම් පුක දිලිසේ...,සන්ලයිට් ... පුක හෝදන සබන් කැටේ ගෑවොත් නම් පුක දිලිසේ...,Harassment,0.4834,Harassment,0.9478
වැටකොලු වලින් smoothly හදල බීල බලල තියෙනවද? පුක මෝල් වෙනව ටෙඅමානමලු,වැටකොලු වලින් smoothly හදල බීල බලල තියෙනවද? පුක මෝල් වෙනව ටෙඅමානමලු,Harassment,0.4961,Harassment,0.9785
පුක පලන ඒවා කරන්නේ උබලාගේ උන් නේ දැක්කේ නැද්ද මේ ලගදිත් එකෙක්ගේ පුක පලනවා ඇදක් උඩ දාගෙන අර කාවිංද ඩොස්තර,පුක පලන ඒවා කරන්නේ උබලාගේ උන් නේ දැක්කේ නැද්ද මේ ලගදිත් එකෙක්ගේ පුක පලනවා ඇදක් උඩ දාගෙන අර කාවිංද ඩොස්තර,Harassment,0.6895,Harassment,0.9819
මෙන්න පුක. ගහපන් අඛිල පයින්.,මෙන්න පුක. ගහපන් අඛිල පයින්.,Harassment,0.71,Harassment,0.9854
#රාමුව වගේද පුක හිල මේ කෙල්ලගෙ පොටෝ එකක් ගහල තියාගනියව් #රාමු කරල. උර්ල් This Tweet ඉස unavailable.,#රාමුව වගේද පුක හිල මේ කෙල්ලගෙ පොටෝ එකක් ගහල තියාගනියව් #රාමු කරල. උර්ල් This Tweet ඉස unavailable.,Harassment,0.4873,Harassment,0.7515
මූ මුගෙම පුක හපාගන්නවලු උර්ල් This Tweet ඉස unavailable.,මූ මුගෙම පුක හපාගන්නවලු උර්ල් This Tweet ඉස unavailable.,Harassment,0.7461,Harassment,0.9497
"නැට්ට කකුල් දෙක අස්සේ ගහනවාට කියන්නෙ නැට්ට පුකේ ගහන්නව කියලනේ , එතකොට මේ කට පුක වගේ කරගැනිල්ලද??","නැට්ට කකුල් දෙක අස්සේ ගහනවාට කියන්නෙ නැට්ට පුකේ ගහන්නව කියලනේ , එතකොට මේ කට පුක වගේ කරගැනිල්ලද??",Harassment,0.5181,Harassment,0.9258
