comment,cleaned_text,label,confidence
""" ං""අවොත්නේ ලිංග වෙන්නේ ඔතන  ""න්"" තියෙන්නේ බොල සිංහල බෑරිද යකෝ",""" ං""අවොත්නේ ලිංග වෙන්නේ ඔතන ""න්"" තියෙන්නේ බොල සිංහල බෑරිද යකෝ",Harassment,0.9746
""" ඒ අවජාතක විජේගෙ ජාන තියෙන උන් ""  හිටියා ඇති හෙට්ටි @USER  · 18 May 2021 ඇහේ කටු අයින සෙට් එකකුත් ඉන්නවා දෙමළ නොවන..",""" ඒ අවජාතක විජේගෙ ජාන තියෙන උන් "" හිටියා ඇති හෙට්ටි · 18 May 2021 ඇහේ කටු අයින සෙට් එකකුත් ඉන්නවා දෙමළ නොවන..",Harassment,0.9854
""" තොගේ හොම්බ තලනවා පරයා.. තෝ දෙමළෙක්..දෙමළාගේ අධිකරණයත් ඉවරයි..තම්බියාගේ අධිකරණයත් ඉවරයි..තොපිට පුළුවන්ද අපිව... URL",""" තොගේ හොම්බ තලනවා පරයා.. තෝ දෙමළෙක්..දෙමළාගේ අධිකරණයත් ඉවරයි..තම්බියාගේ අධිකරණයත් ඉවරයි..තොපිට පුළුවන්ද අපිව... උර්ල්",Harassment,0.9658
""" බඩුව Highlights කරගන්න තමයි ලංකාවේ කෙල්ලෝ Tattoo ගහන්නේ ""  buddhi- @USER  · 31 Aug 2021 tattoo ගහපු හැම කෙල්ලම බඩුවක් වෙන් නැහැ.   එත් ඉතින් හැම බඩුවගේම Tattoo එකකුත් තිබුනා    ༼ つ ◕_◕ ༽つ",""" බඩුව හිඝ්ලිඝ්ට්ස් කරගන්න තමයි ලංකාවේ කෙල්ලෝ Tattoo ගහන්නේ "" buddhi- · 31 ඖග් 2021 tattoo ගහපු හැම කෙල්ලම බඩුවක් වෙන් නැහැ. එත් ඉතින් හැම බඩුවගේම Tattoo එකකුත් තිබුනා ༼ つ ◕_◕ つ",Harassment,0.9072
""" හු...පලයන් කොටි පැටියා උන්ගේ තුරුල්ලටම.... "" ගාල්ලේදී කට මැත දොඩවා ජාතිය පාවා දෙන්න ගිය වික්‍රමභාහු කොටියා... URL",""" හු...පලයන් කොටි පැටියා උන්ගේ තුරුල්ලටම.... "" ගාල්ලේදී කට මැත දොඩවා ජාතිය පාවා දෙන්න ගිය වික්‍රමභාහු කොටියා... උර්ල්",Harassment,0.9048
"""They""  can point to anybody!   අහක යන නයි රෙද්ද අස්සෙ දාගන්න එපා, ටෞකන්න!","""They"" can point ටො anybody! අහක යන නයි රෙද්ද අස්සෙ දාගන්න එපා, ටෞකන්න!",Harassment,0.9399
"""අපේ කාලේ නම් දැන් හැදෙන සංකර හැත්ත වගේ නිකටේ කොන පේන්න,කම්මුලේ රවුම් පේන්න,කන පෙන්න මාස්ක් දැම්මෙ නෑ...දැන් හැදෙනඑවුන්  ඒකට...මාස්ක් එක දැන් වැටිලා නහය පෙනෙයිද දැන් වැටිලා පෙනෙයිද හිතෙනවා""  #මාස්ක්_කතා","""අපේ කාලේ නම් දැන් හැදෙන සංකර හැත්ත වගේ නිකටේ කොන පේන්න,කම්මුලේ රවුම් පේන්න,කන පෙන්න මාස්ක් දැම්මෙ නෑ...දැන් හැදෙනඑවුන් ඒකට...මාස්ක් එක දැන් වැටිලා නහය පෙනෙයිද දැන් වැටිලා පෙනෙයිද හිතෙනවා"" #මාස්ක්_කතා",Harassment,0.9346
"""අල්ලා කියලා පකෙක් නෑ,තෝ මංදමානසිකයෙක්ද , අල්ලට කියල ඇරගනින්"" කියල කියන උන් කදමලු බැදගෙන, ලමයි වඩාගෙන යනෝ කතරගම දෙයියො බැහැදකින්න","""අල්ලා කියලා පකෙක් නෑ,තෝ මංදමානසිකයෙක්ද , අල්ලට කියල ඇරගනින්"" කියල කියන උන් කදමලු බැදගෙන, ලමයි වඩාගෙන යනෝ කතරගම දෙයියො බැහැදකින්න",Harassment,0.9775
"""ආ කවුද දන්නේ නෑ හිලට දාල වෙඩි තියන්න වෙඩි තියන්න දැන් බලනවා සාලේ මැද තඩි වලක්නේ සෙඩ්ඩ""","""ආ කවුද දන්නේ නෑ හිලට දාල වෙඩි තියන්න වෙඩි තියන්න දැන් බලනවා සාලේ මැද තඩි වලක්නේ සෙඩ්ඩ""",Harassment,0.9141
"""ආයෙ සැරයක් පත් උනොත් තොගෙ ඇට දෙක මිරිකනවා රෙද්ද"" URL","""ආයෙ සැරයක් පත් උනොත් තොගෙ ඇට දෙක මිරිකනවා රෙද්ද"" උර්ල්",Harassment,0.9468
"""ඈ බන් පොඩි එකෝ....බැරි වෙලාවත් තොගෙ අම්මා වේසියක් වෙලා තොගෙ තාත්තා රස්තියදු කාරයෙක් උනානම් තෝ කව්ද?""  පොඩ්ඩක් වෙලා ඉදලා පොඩි එකා Driver කාරයට උත්තර දුන්නලු.  ""එහෙනම් ඉතින් අන්කල් මම අද බස් Driver කෙනෙක් තමයි.""","""ඈ බන් පොඩි එකෝ....බැරි වෙලාවත් තොගෙ අම්මා වේසියක් වෙලා තොගෙ තාත්තා රස්තියදු කාරයෙක් උනානම් තෝ කව්ද?"" පොඩ්ඩක් වෙලා ඉදලා පොඩි එකා Driver කාරයට උත්තර දුන්නලු. ""එහෙනම් ඉතින් අන්කල් මම අද බස් Driver කෙනෙක් තමයි.""",Harassment,0.9077
"@USER ""ඉදා තොට වැලි"" ""හහ් මට විතරක්!! මාළු පරයා. මෙන්න තොටත් වැලි""","""ඉදා තොට වැලි"" ""හහ් මට විතරක්!! මාළු පරයා. මෙන්න තොටත් වැලි""",Harassment,0.98
"""උගත් ඇට කිච්චී, වැස්සි, ගොන් ටැම්බි, මන්ද මානසික එළදෙන, උඹ, මේකී,ගොන් බඩු කෑල්ල, ගොන් හැතිරි,චිංචිමානවිකාව, බැල්ලී ,වැළලියන් තෝ ! පුකේ ඉත්තෑවෝ ! ජාතක කරපු එවුන් පව්! "" "" විකල්ප පඩංගුව "" අමතක වෙලා.","""උගත් ඇට කිච්චී, වැස්සි, ගොන් ටැම්බි, මන්ද මානසික එළදෙන, උඹ, මේකී,ගොන් බඩු කෑල්ල, ගොන් හැතිරි,චිංචිමානවිකාව, බැල්ලී ,වැළලියන් තෝ ! පුකේ ඉත්තෑවෝ ! ජාතක කරපු එවුන් පව්! "" "" විකල්ප පඩංගුව "" අමතක වෙලා.",Harassment,0.9888
"""උඹෙ තාත්තා බේබද්දෙක් වෙලා අම්මා බඩුවක් උනා නං උඹ මොකෙද්ද කියලා""  පොඩි එකා හිනාවක් දාලා කිව්වලු  ""එහෙනං මාත් බස් driver කෙනෙක්"" කියලා   (උපහාසයට)","""උඹෙ තාත්තා බේබද්දෙක් වෙලා අම්මා බඩුවක් උනා නං උඹ මොකෙද්ද කියලා"" පොඩි එකා හිනාවක් දාලා කිව්වලු ""එහෙනං මාත් බස් driver කෙනෙක්"" කියලා (උපහාසයට)",Harassment,0.9521
"""උඹේ අම්මට හු**** පක*...තෝට කෙලිනවා...""-නෙළුව රෝහලේ චන්ඩි දොස්තරගේ හරුප වැල(වීඩියෝ සහිතයි) | A new voice for a new Sri Lan URL","""උඹේ අම්මට හු**** පක*...තෝට කෙලිනවා...""-නෙළුව රෝහලේ චන්ඩි දොස්තරගේ හරුප වැල(වීඩියෝ සහිතයි) | අ new voice for අ new Sri Lan උර්ල්",Harassment,0.9102
"""උඹේ අම්මාට හුකාපන් හුත්තෝ"" - චමිඳු, වේස කල්ලිය.","""උඹේ අම්මාට හුකාපන් හුත්තෝ"" - චමිඳු, වේස කල්ලිය.",Harassment,0.9668
"""ඒකි උඹව දැලේ දාගන්න බලන්නේ. උඹ වැටියන්."" -  @USER  #QuoteOfTheDay","""ඒකි උඹව දැලේ දාගන්න බලන්නේ. උඹ වැටියන්."" - කුඔතෙඔෆ්ථෙදය්",Harassment,0.9785
"""කට වක්කඩේ වගේ බොම්බයි-මොටයිකාරයා තොට වැඩිය හොඳයි යකෝ මාළුකාරයා""  එලිසමය එහෙමත් ගළපලා කියන්නෙ.","""කට වක්කඩේ වගේ බොම්බයි-මොටයිකාරයා තොට වැඩිය හොඳයි යකෝ මාළුකාරයා"" එලිසමය එහෙමත් ගළපලා කියන්නෙ.",Harassment,0.9536
"""කඩු තියෙන්නේ කැලෑ කපන්න, කඩු තියාගත්තේ ගෑණු ලමයිගේ ආරක්ෂාවට""   යකෝ මේ සමහර ගොං තම්බි දෙන ආතල් මේ දවස් වල. අඩුගානේ කියපංකෝ කඩු තියෙන්නේ මුන්ගේ කොන කපන්න කියලාවත්.","""කඩු තියෙන්නේ කැලෑ කපන්න, කඩු තියාගත්තේ ගෑණු ලමයිගේ ආරක්ෂාවට"" යකෝ මේ සමහර ගොං තම්බි දෙන ආතල් මේ දවස් වල. අඩුගානේ කියපංකෝ කඩු තියෙන්නේ මුන්ගේ කොන කපන්න කියලාවත්.",Harassment,0.958
