comment,label,cleaned_text
යකෝ.. කතාව ඇත්ත ඉතින්.. ඒත් අරකක් ගන්න පරම්පරා බූදලෙත් මදී බං.,normal,යකෝ.. කතාව ඇත්ත ඉතින්.. ඒත් අරකක් ගන්න පරම්පරා බූදලෙත් මදී බං.
කොළඹ පොලිස් පාක් එක ළඟට පලයන් උදේ වරුවක,normal,කොළඹ පොලිස් පාක් එක ළඟට පලයන් උදේ වරුවක
"උඹ කවදාවත් ආත්මාරථකාමීත්වය පැත්තක තියලා, පොදු අරමුණක් වෙනුවෙන් මිනීසු එකතු උණ තැනකට ගිහින් නෑනේ. ඒකයි.",normal,"උඹ කවදාවත් ආත්මාරථකාමීත්වය පැත්තක තියලා, පොදු අරමුණක් වෙනුවෙන් මිනීසු එකතු උණ තැනකට ගිහින් නෑනේ. ඒකයි."
"අනේ මන්දා ඒයි, සමහරු හෙන... පොරවල් කියලා හිතන් ඉන්නවා, සමහරු පොරවල් වෙන්න දඟලනවා, සමහරු සංස්කුරුතිය රැකගන්න වෙහෙසෙනවා, බලන් ගියාම බුකියයි, ටුවිටරෙයි ලොකු වෙනසක් නෑ. කලකිරුණා ෆ්‍රෙන්. වලියක් දැකලා. ඇයි මෙහෙම මිනිස්සු?",normal,"අනේ මන්දා ඒයි, සමහරු හෙන... පොරවල් කියලා හිතන් ඉන්නවා, සමහරු පොරවල් වෙන්න දඟලනවා, සමහරු සංස්කුරුතිය රැකගන්න වෙහෙසෙනවා, බලන් ගියාම බුකියයි, ටුවිටරෙයි ලොකු වෙනසක් නෑ. කලකිරුණා ෆ්‍රෙන්. වලියක් දැකලා. ඇයි මෙහෙම මිනිස්සු?"
නුඹෙ අම්ම - ඒ මොහොතෙ වැව් පතුලෙ - හැන්ගුනා... නුඹ එක්ක - මං පුතේ මේ ලෝකෙ - තනි වුණා... මට වාරු - නැති වුනේ නුඹ අන්ධ - බව අසා... මට තිබුණු - මේ ලෝකෙ සේසතම - නුඹ නිසා... මගෙ දෙඇස් - නුඹ නමින් මං පුතේ - වෙන් කලා... ඒ බවක් - පොඩි පුතේ මං උඹට - හැන්ගුවා... (3/5),normal,නුඹෙ අම්ම - ඒ මොහොතෙ වැව් පතුලෙ - හැන්ගුනා... නුඹ එක්ක - මං පුතේ මේ ලෝකෙ - තනි වුණා... මට වාරු - නැති වුනේ නුඹ අන්ධ - බව අසා... මට තිබුණු - මේ ලෝකෙ සේසතම - නුඹ නිසා... මගෙ දෙඇස් - නුඹ නමින් මං පුතේ - වෙන් කලා... ඒ බවක් - පොඩි පුතේ මං උඹට - හැන්ගුවා... (3/5)
ගෝඨා ආපු ගමන්ම රට වටේට කරන්ට් එක ගිය වෙලේ ඩලස් හෙන සීන් එකක් දාලා ජනතාවගෙන් සමාව ඉල්ලලා අළුත් සිස්ටම් චේන්ජ් එක කියලා. දැන් රට වටේම කරන්ට් එක ගියාම ගලක් ගහන්න බල්ලෙක්වත් නැහැ.,normal,ගෝඨා ආපු ගමන්ම රට වටේට කරන්ට් එක ගිය වෙලේ ඩලස් හෙන සීන් එකක් දාලා ජනතාවගෙන් සමාව ඉල්ලලා අළුත් සිස්ටම් චේන්ජ් එක කියලා. දැන් රට වටේම කරන්ට් එක ගියාම ගලක් ගහන්න බල්ලෙක්වත් නැහැ.
යකෝ මේ ටවුමෙ පාර්කින් එකක් නෑ නෙහ් මාර දියුනුයි,normal,යකෝ මේ ටවුමෙ පාර්කින් එකක් නෑ නෙහ් මාර දියුනුයි
ෂා ෆ්ම් 90.9න් හෝ 91.1න් දිවයින පුරා.. --------------------------------- මින්නේරියේදී වල් අලි ප්‍රහාරය එල්ලවූ... උර්ල්,normal,ෂා ෆ්ම් 90.9න් හෝ 91.1න් දිවයින පුරා.. --------------------------------- මින්නේරියේදී වල් අලි ප්‍රහාරය එල්ලවූ... උර්ල්
ඒකනේ කටට ගත්ත කිරිබත් කෑල්ල කා ගන්න බැරිවුනා. මාර දුකයි.,normal,ඒකනේ කටට ගත්ත කිරිබත් කෑල්ල කා ගන්න බැරිවුනා. මාර දුකයි.
ටික දවසකට කලින් ට්විටර් එකේ එකෙක් බස් එකේදී අම්ම කෙනෙක්ගෙයි කෙල්ලෙක්ගෙයි බෑග් අරගෙන උන්දෙන්නා වාඩි වෙද්දී මූ බෑග් ටික උස්සන් ගිහින් තිබ්බා නේද ?? ඒක අද මට උනා පින්වතුනි. #ලකේපංකාවේපීප්ල්ස්,normal,ටික දවසකට කලින් ට්විටර් එකේ එකෙක් බස් එකේදී අම්ම කෙනෙක්ගෙයි කෙල්ලෙක්ගෙයි බෑග් අරගෙන උන්දෙන්නා වාඩි වෙද්දී මූ බෑග් ටික උස්සන් ගිහින් තිබ්බා නේද ?? ඒක අද මට උනා පින්වතුනි. #ලකේපංකාවේපීප්ල්ස්
"5' 8½ තිබුන එක මාස දෙකෙන් තුනෙන් 5' 9 ක් වෙලානෙ , යකාගෙ වැඩන් නෙ යකෝ ඒක",normal,"5' 8½ තිබුන එක මාස දෙකෙන් තුනෙන් 5' 9 ක් වෙලානෙ , යකාගෙ වැඩන් නෙ යකෝ ඒක"
මොනාහරි කරමු. ඕක නම් ආයෙ බෑ දැන් නම් කස්සප වෙලා තියෙන්නෙ. මූට දැන් පට්ට අයිඩියා තියෙනවා,normal,මොනාහරි කරමු. ඕක නම් ආයෙ බෑ දැන් නම් කස්සප වෙලා තියෙන්නෙ. මූට දැන් පට්ට අයිඩියා තියෙනවා
අතට ගත් බත්පිඬ කටට දාගන්න නොලැබීමේ මහින්දගේ අභාග්‍යය - තිස්ස ගුණවර්ධන උර්ල්,normal,අතට ගත් බත්පිඬ කටට දාගන්න නොලැබීමේ මහින්දගේ අභාග්‍යය - තිස්ස ගුණවර්ධන උර්ල්
මේ අවුරුදු 2ක ඉක්මනට ගෙවිලා ඉවරවෙලා කරුම ජාතික ආණ්ඩුව නැතිවෙලා ගිහින් පිරිසිදු උන්ප් ආණ්ඩුවක් එනතුරු බලා සිටිමු! මේ... උර්ල්,normal,මේ අවුරුදු 2ක ඉක්මනට ගෙවිලා ඉවරවෙලා කරුම ජාතික ආණ්ඩුව නැතිවෙලා ගිහින් පිරිසිදු උන්ප් ආණ්ඩුවක් එනතුරු බලා සිටිමු! මේ... උර්ල්
