comment,label,cleaned_text
උම්බලකඩ නැති ගුලි කඩල පිටි වඩේ 6ක් රැ.100/- බං. මොන රටක්ද යකෝ මේක,offensive,උම්බලකඩ නැති ගුලි කඩල පිටි වඩේ 6ක් රැ.100/- බං. මොන රටක්ද යකෝ මේක
"නෑ...උඹ අදහස් කරන කෙනාටත් සාධාරණයි කියන්න පුළුවන් හේතුවක් තියෙනවා...මම කියන කෙනාට එහෙම හේතු මුකුත්ම නැතුවත් තමයි අරම ඉන්නෙ... හිටුකො, උඹ කියපුවා දැකලා නිකං හරි අර ලස්සන සෙලිබ්රිටී තොප්පිය දාගෙන, මගෙ එක්ක අමනාප උනොත් එහෙම ඔන්න මං තෝව තමයි අල්ල ගන්නෙ",offensive,"නෑ...උඹ අදහස් කරන කෙනාටත් සාධාරණයි කියන්න පුළුවන් හේතුවක් තියෙනවා...මම කියන කෙනාට එහෙම හේතු මුකුත්ම නැතුවත් තමයි අරම ඉන්නෙ... හිටුකො, උඹ කියපුවා දැකලා නිකං හරි අර ලස්සන සෙලිබ්රිටී තොප්පිය දාගෙන, මගෙ එක්ක අමනාප උනොත් එහෙම ඔන්න මං තෝව තමයි අල්ල ගන්නෙ"
නින්ද නොගියත් ඉතිං ජෙරි තමයි පුක! #මොනාඋනත්පුක The following media ඉන්ච්ලුදෙස් potentially sensitive content. Change සෙට්ටින්ග්ස් View,offensive,නින්ද නොගියත් ඉතිං ජෙරි තමයි පුක! #මොනාඋනත්පුක The following media ඉන්ච්ලුදෙස් potentially sensitive content. Change සෙට්ටින්ග්ස් View
හම්මට අර පර බල්ලා හැපුවා නෙහ්,offensive,හම්මට අර පර බල්ලා හැපුවා නෙහ්
ඔව්.. ගෝඨට තේරෙන්නැ මීඩියා ඉස්සරහ සුරංගනා කතා මවන්න ගෝඨා කියන්නෙ වැඩක් කරල පෙන්නපු මිනිහෙක් මිසක් කුඹුරෙ ඉන්න එකාලා ට අමුඩෙ ගලෝල ඩෙනිම ගස්සල බ්‍රේස්ලට් දම්මලා චුයිංගම් හප්පවන්නවත් තොපි රෑට බුදියනකොට ගේ අස්සෙ රිංගල හැමනෙනවා බලන ගොන් ගැලරී පොරොන්දු දෙන කෙනෙක් නෙමෙයි...,offensive,ඔව්.. ගෝඨට තේරෙන්නැ මීඩියා ඉස්සරහ සුරංගනා කතා මවන්න ගෝඨා කියන්නෙ වැඩක් කරල පෙන්නපු මිනිහෙක් මිසක් කුඹුරෙ ඉන්න එකාලා ට අමුඩෙ ගලෝල ඩෙනිම ගස්සල බ්‍රේස්ලට් දම්මලා චුයිංගම් හප්පවන්නවත් තොපි රෑට බුදියනකොට ගේ අස්සෙ රිංගල හැමනෙනවා බලන ගොන් ගැලරී පොරොන්දු දෙන කෙනෙක් නෙමෙයි...
අනෙ පලයං කෙල්ලෙ යන්න නංගි කෙනෙක් නේද..පික් එක පට්ට,offensive,අනෙ පලයං කෙල්ලෙ යන්න නංගි කෙනෙක් නේද..පික් එක පට්ට
හෑහ් උට හෙන ගහන්න එපැයැ ඔයා බඩගින්නෙ තිබ්බට,offensive,හෑහ් උට හෙන ගහන්න එපැයැ ඔයා බඩගින්නෙ තිබ්බට
ඇති යකෝ දැන් පවුල් බැලුවා මගේ ලබ්බ බස්සන්නද හදන්නෙ. මීට අගතියට පත් Twitter Server රාජයා,offensive,ඇති යකෝ දැන් පවුල් බැලුවා මගේ ලබ්බ බස්සන්නද හදන්නෙ. මීට අගතියට පත් Twitter Server රාජයා
මේ ගොන් ආතල් දෙන එක නවත්තල වට පිට බලපල්ලා වාසනා සම්පතක් ගනින් වසනාව ලබාගන්න . අපිනම් ගොඩ ගියා මෙහේට පැනල. උබල වයස ගිහින් මැරිල යනකල් ගොන්කන් කරපල්ල. #වටපිටබිරිස්,offensive,මේ ගොන් ආතල් දෙන එක නවත්තල වට පිට බලපල්ලා වාසනා සම්පතක් ගනින් වසනාව ලබාගන්න . අපිනම් ගොඩ ගියා මෙහේට පැනල. උබල වයස ගිහින් මැරිල යනකල් ගොන්කන් කරපල්ල. #වටපිටබිරිස්
නොදකින් මී හරකා.. ක්‍රිකට් කන්නේ ඕකා ෆෙල් එවුන් ටීම් එකට ගෙනල්ලා කනවා හැදිගෑවිලා පලයන් තෝ නම් මෙල් මහතෝ..,offensive,නොදකින් මී හරකා.. ක්‍රිකට් කන්නේ ඕකා ෆෙල් එවුන් ටීම් එකට ගෙනල්ලා කනවා හැදිගෑවිලා පලයන් තෝ නම් මෙල් මහතෝ..
